seed,r2,rmse,mae
1,0.8633577581315747,4516.419075316657,2601.3093282530244
7,0.8389547392084814,5075.887068429243,3034.6546286590165
21,0.8179612044955457,5027.223951469875,3063.9961522870713
42,0.8668921827834128,4545.857430069052,2721.2199898265153
99,0.8304056363542173,4884.576479236176,2915.216359539092
