mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,param_regressor__fit_intercept,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.025133848190307617,0.00241127204921347,0.011709880828857423,0.0011084652763007816,0.1,True,"{'regressor__alpha': 0.1, 'regressor__fit_intercept': True}",-3119.022869299429,-3100.7941261436736,-2587.0184819789342,-2898.0270407297585,-2805.230259256499,-2902.018555481659,197.59127131046898,7,-2730.3864710337652,-2839.624943320287,-3052.1915713415274,-2833.576981886946,-2930.524038021752,-2877.2608011208554,108.01347089038066
0.03306922912597656,0.00838056993351228,0.010750007629394532,0.0006068276474547568,0.1,False,"{'regressor__alpha': 0.1, 'regressor__fit_intercept': False}",-3081.960134737771,-3103.6421738348054,-2552.7823569303982,-2899.0520390607307,-2760.9592897214734,-2879.6791988570358,206.11077614040582,1,-2704.2082295091022,-2822.4444562798567,-3033.057994704054,-2813.695137229864,-2901.2882094525794,-2854.938805435091,108.95076158672273
0.02548327445983887,0.007422630877135625,0.009935522079467773,0.0011613091957125832,0.5,True,"{'regressor__alpha': 0.5, 'regressor__fit_intercept': True}",-3121.8957130563163,-3089.8525088768915,-2590.5927780563397,-2897.749419388738,-2793.409591159435,-2898.7000021075446,196.14925031098093,4,-2728.0831755175664,-2837.429017800752,-3050.7301644435474,-2827.2085116129842,-2927.3977680225175,-2874.1697274794733,108.53877501471148
0.020728492736816408,0.0005573244595766821,0.010319948196411133,0.0007434286152334612,0.5,False,"{'regressor__alpha': 0.5, 'regressor__fit_intercept': False}",-3083.079228021644,-3095.248782186574,-2561.2903942669177,-2902.9367662173136,-2755.999870216742,-2879.711008181838,202.5096213628501,2,-2708.148863577832,-2822.54305587625,-3033.989077906404,-2811.9954504238935,-2902.4243084495547,-2855.820151246787,108.39824036942987
0.019932031631469727,0.001226581606891815,0.00960545539855957,0.0008564419406681226,1.0,True,"{'regressor__alpha': 1.0, 'regressor__fit_intercept': True}",-3128.9010553973876,-3082.496778055737,-2596.2575597939176,-2899.6702002663064,-2788.9716065877997,-2899.2594400202297,195.08198682156637,5,-2729.7814220334976,-2841.426964724493,-3052.6371122101045,-2827.0317831819525,-2927.4328489608374,-2875.662026222177,108.46058251717793
0.021544361114501955,0.0020283087269611587,0.01872105598449707,0.019578729960593316,1.0,False,"{'regressor__alpha': 1.0, 'regressor__fit_intercept': False}",-3096.38673996251,-3090.2956683867824,-2571.8852465489704,-2907.553711408356,-2755.896468298734,-2884.4035669210707,201.0204602785476,3,-2714.965782301349,-2828.464813264589,-3038.8941565250616,-2814.767576748786,-2906.969950458171,-2860.8124558595914,107.96421581367713
0.020199918746948244,0.0010767956576499212,0.01016535758972168,0.0009596588190989347,2.0,True,"{'regressor__alpha': 2.0, 'regressor__fit_intercept': True}",-3145.375361611166,-3080.7301321742702,-2617.311683705428,-2905.7864863319173,-2801.2466926028296,-2910.0900712851226,190.82022135206475,8,-2742.830964907211,-2857.5555861869075,-3062.2552653661555,-2840.3849730979723,-2934.78504854123,-2887.5623676198957,106.60289164315286
0.020075607299804687,0.0016929038990304876,0.009475183486938477,0.0008759959898686704,2.0,False,"{'regressor__alpha': 2.0, 'regressor__fit_intercept': False}",-3123.8835737499885,-3088.3768999949766,-2599.545735674126,-2915.2808396202395,-2774.521611092014,-2900.3217320262693,195.88787026426408,6,-2734.4720026766886,-2848.65118423425,-3053.6379069763652,-2832.868980574485,-2920.8825860757142,-2878.102532107501,106.00564693288058
0.022534847259521484,0.005608674046001218,0.009194278717041015,0.00018451839678677103,5.0,True,"{'regressor__alpha': 5.0, 'regressor__fit_intercept': True}",-3189.9313170710698,-3105.9453841165837,-2678.9571914114053,-2935.110523783261,-2837.8819066946476,-2949.5652646153935,183.38016370397537,10,-2788.879308837913,-2901.730494967984,-3093.2062872567967,-2889.1112912154645,-2966.740596575001,-2927.9335957706317,100.35030084611219
0.0205228328704834,0.0021506475950196446,0.01017303466796875,0.002563167892084477,5.0,False,"{'regressor__alpha': 5.0, 'regressor__fit_intercept': False}",-3183.79881264513,-3106.970456818771,-2670.9768094397896,-2937.976180447974,-2826.994004669847,-2945.343252804302,185.64599140844587,9,-2788.727180797106,-2900.509488899041,-3090.4058052458404,-2888.2975386169337,-2962.4233170515686,-2926.072666122098,99.26829208179811
0.02082376480102539,0.0015174936205209766,0.009238386154174804,0.0002243226981968574,10.0,True,"{'regressor__alpha': 10.0, 'regressor__fit_intercept': True}",-3239.6722148313256,-3145.005719263015,-2748.6680225799355,-2984.1073134176654,-2882.387598264738,-2999.9681736713364,176.47801082241511,11,-2849.893785850902,-2958.142963384674,-3138.420655676378,-2951.152330220145,-3014.4345239676736,-2982.4088518199546,94.33066607620607
0.02454371452331543,0.010397213537257111,0.009456253051757813,0.0006222192990014387,10.0,False,"{'regressor__alpha': 10.0, 'regressor__fit_intercept': False}",-3250.578623180126,-3142.7727765237432,-2752.3043491576905,-2976.5398637699204,-2886.71443889962,-3001.78201030622,177.70479233799307,12,-2849.5299380431193,-2965.3142776606896,-3140.0653915717744,-2954.8137065504566,-3016.0726500510905,-2985.159192775426,94.51088423631427
0.021009254455566406,0.0015229616321979765,0.009443998336791992,0.0007441756478054562,20.0,True,"{'regressor__alpha': 20.0, 'regressor__fit_intercept': True}",-3292.3499342258247,-3201.591085820857,-2812.855460698094,-3038.656747969618,-2934.555107637829,-3056.0016672704446,173.9120311705511,13,-2910.8524634883224,-3011.7758647120313,-3188.6107387786556,-3017.0724631899993,-3068.9581173915985,-3039.4539295121212,90.46943486313742
0.01913161277770996,0.00051996971106354,0.009856367111206054,0.0010229293008780815,20.0,False,"{'regressor__alpha': 20.0, 'regressor__fit_intercept': False}",-3323.491747903801,-3204.1352104403563,-2835.6441090696876,-3024.2922618256343,-2961.2055802325476,-3069.753781894405,173.83792712392693,14,-2916.6278758974263,-3036.25259938552,-3204.2783014443944,-3032.222130311239,-3082.984258116162,-3054.473033030948,92.82551655608401
0.019994735717773438,0.0009106780435646097,0.009398794174194336,0.00037351463323238924,50.0,True,"{'regressor__alpha': 50.0, 'regressor__fit_intercept': True}",-3331.992157646526,-3259.538314233348,-2868.5499860934847,-3090.653633370913,-2982.7205811294225,-3106.690934494739,171.1490096336852,15,-2963.5920415006553,-3059.3283872214597,-3238.2031442905713,-3073.8448893620152,-3119.904462246617,-3090.9745849242636,89.48117920896274
0.018203926086425782,0.0010948885939006852,0.008093881607055663,0.0011553820272602352,50.0,False,"{'regressor__alpha': 50.0, 'regressor__fit_intercept': False}",-3404.70062973984,-3282.0742378370396,-2931.1761224190423,-3089.5022557203893,-3057.134488278136,-3152.9175467988894,168.78467017080573,16,-2999.494557059461,-3117.631219293634,-3287.60715943393,-3122.2123415936335,-3167.0483704973403,-3138.7987295756,92.81251558635883
